NodeId,Latitude,Longitude,Elevation,Distance,ECEFx,ECEFy,ECEFz,x,y,z,RSSI_avg,RSSI_var
1,43.586525,13.516407,162,40.0,4499223,1081530,4375042,2,-20,-51,-99.9962121212121,3.2737498559742
2,43.586002,13.51633,160,100.0,4499262,1081533,4374998,41,-17,-95,-94.6590909090909,3.36622882820601
3,43.585419,13.516218,154,160.0,4499303,1081534,4374947,82,-16,-146,-93.9469696969697,9.19869800668281
4,43.585423,13.515975,154,170.0,4499307,1081515,4374947,86,-35,-146,-95.4090909090909,6.02972692706532
5,43.584759,13.516003,163,240.0,4499362,1081531,4374900,141,-19,-193,-106.011363636364,20.414319045973
6,43.586205,13.515892,154,90.0,4499250,1081494,4375010,29,-56,-83,-107.367424242424,17.6097332642009
7,43.585876,13.515337,144,150.0,4499278,1081455,4374977,57,-95,-116,-98.3863636363637,8.48893881783616
8,43.585171,13.514808,159,240.0,4499351,1081429,4374931,130,-121,-162,-108.988636363636,11.1747753197373
9,43.585155,13.514817,159,240.0,4499352,1081430,4374929,131,-120,-164,-94.6325757575758,8.46904885355452
10,43.586605,13.515959,156,60.0,4499221,1081493,4375044,0,-57,-49,-88.5075757575758,2.76039866344047
11,43.586212,13.51479,144,170.0,4499264,1081406,4375004,43,-144,-89,-90.0227272727273,5.04130660214309
12,43.586048,13.514552,135,190.0,4499274,1081389,4374985,53,-161,-108,-100.984848484848,18.0530014978685
13,43.585754,13.513961,135,250.0,4499307,1081348,4374961,86,-202,-132,-86.9924242424242,5.44480930982832
14,43.58675,13.515293,146,110.0,4499216,1081436,4375049,-5,-114,-44,-110.882575757576,12.2028891577371
15,43.586491,13.514944,146,140.0,4499241,1081414,4375028,20,-136,-65,-93.4280303030303,9.7362455351999
16,43.586315,13.514209,136,210.0,4499261,1081357,4375007,40,-193,-86,-86.8901515151515,4.8205870491992
17,43.586411,13.513798,136,230.0,4499262,1081323,4375015,41,-227,-78,-93.7689393939394,34.1175106579099
18,43.586849,13.514909,146,140.0,4499215,1081404,4375057,-6,-146,-36,-101.344696969697,12.819895725314
19,43.5867,13.514251,136,190.0,4499232,1081354,4375038,11,-196,-55,-89.5568181818182,12.3389647424818
20,43.586601,13.513759,136,230.0,4499249,1081317,4375030,28,-233,-63,-99.9431818181818,13.8560750086416
21,43.587269,13.514403,141,190.0,4499190,1081356,4375087,-31,-194,-6,-105.742424242424,3.83454315013248
22,43.587132,13.5136,134,250.0,4499211,1081294,4375071,-10,-256,-22,-106.068181818182,6.48963014172138
23,43.587044,13.516308,162,40.0,4499186,1081513,4375083,-35,-37,-10,-83.0719696969697,6.03662576333678
24,43.587185,13.515691,143,90.0,4499173,1081459,4375082,-48,-91,-11,-84.0340909090909,2.86195126166609
25,43.587635,13.515096,142,150.0,4499151,1081404,4375117,-70,-146,24,-97.4128787878788,5.19390194722894
26,43.587856,13.514734,142,190.0,4499141,1081372,4375135,-80,-178,42,-97.4659090909091,9.03305392326307
27,43.588097,13.514154,131,240.0,4499126,1081320,4375147,-95,-230,54,-93.7186311787072,4.43961338635243
28,43.587288,13.516234,143,60.0,4499156,1081500,4375090,-65,-50,-3,-84.8143939393939,3.32283385182623
29,43.587765,13.51596,143,120.0,4499125,1081470,4375128,-96,-80,35,-86.6022727272727,3.10737124092639
30,43.588108,13.51586,127,150.0,4499090,1081453,4375145,-131,-97,52,-104.681818181818,48.3698582786035
31,43.588394,13.515478,127,200.0,4499076,1081418,4375168,-145,-132,75,-99.5189393939394,28.881769213043
32,43.588799,13.515425,117,240.0,4499040,1081405,4375194,-181,-145,101,-103.060606060606,17.479202673119
33,43.587341,13.516503,144,60.0,4499147,1081520,4375095,-74,-30,2,-81.1818181818182,3.55617006567575
34,43.587784,13.515425,144,140.0,4499112,1081523,4375131,-109,-27,38,-105.719696969697,5.28995275953451
35,43.588173,13.516375,129,150.0,4499077,1081493,4375152,-144,-57,59,-108.075757575758,19.0892960018435
36,43.58867,13.51631,129,200.0,4499041,1081479,4375192,-180,-71,99,-90.8181818181818,11.3280331835465
37,43.588902,13.515993,117,230.0,4499022,1081448,4375202,-199,-102,109,-90.9659090909091,3.18894745938471
