,pathLoss,poly3,poly6
0,-99.9962121212121,-86.239824,-88.58450483200002
1,-94.6590909090909,-96.49546344299999,-97.01658936759969
2,-93.9469696969697,-97.927556248,-97.42395394375194
3,-95.4090909090909,-97.82882533299998,-96.66127443354685
4,-106.011363636364,-97.34909902299998,-97.08768375868294
5,-107.367424242424,-96.225840744,-96.15634404167002
6,-98.3863636363637,-98.080793728,-98.97734394593249
7,-108.988636363636,-97.38408055199999,-97.03538875789434
8,-94.6325757575758,-97.42103122899998,-96.96366415536545
9,-88.5075757575758,-91.61747504799999,-86.33991146075999
10,-90.0227272727273,-97.82882533299998,-96.66127443354685
11,-100.984848484848,-97.259247987,-94.35123345821648
12,-86.9924242424242,-97.96687499999999,-94.462890625
13,-110.882575757576,-97.44960582099999,-100.04818914791247
14,-93.4280303030303,-98.142742144,-100.07142158942213
15,-86.8901515151515,-97.05189481299999,-94.85947283159305
16,-93.7689393939394,-97.34909902299998,-97.08768375868294
17,-101.344696969697,-98.14761040799999,-100.30341283147345
18,-89.5568181818182,-97.203706176,-94.35264561224699
19,-99.9431818181818,-97.316053696,-97.12189286175737
20,-105.742424242424,-97.33996207899999,-94.44590970922593
21,-106.068181818182,-97.96687499999999,-94.462890625
22,-83.0719696969697,-85.035532096,-91.05198081260546
23,-84.0340909090909,-95.61077875199999,-94.27399250526207
24,-97.4128787878788,-98.042397625,-98.52072218775015
25,-97.4659090909091,-97.27877900799999,-94.36457194536968
26,-93.7186311787072,-97.79147949299997,-95.51440091780069
27,-84.8143939393939,-91.81522407699998,-86.53990119836513
28,-86.6022727272727,-97.75822471199999,-100.86557670458848
29,-104.681818181818,-97.99711319199999,-98.0522011682234
30,-99.5189393939394,-97.13799999999998,-94.44960000000015
31,-103.060606060606,-97.58918433699998,-96.45404864344823
32,-81.1818181818182,-91.001120089,-85.84755676165369
33,-105.719696969697,-97.163372856,-99.17006437288859
34,-108.075757575758,-98.068815307,-98.82699418793175
35,-90.8181818181818,-97.05189481299999,-94.85947283159305
36,-90.9659090909091,-97.42103122899998,-96.96366415536545
